city,real_farmer_count,real_prod_area_ha,natural_collect_area_ha,resting_terrain_ha,total_area_ha,prod_quant_tonnes,year,yield_tonnes_per_hectar,geo_group
GUMUSHANE,25,461.04709999999983,0,61.409199999999984,522.4562999999998,5296.04424689,2015,11.487,karadeniz
HATAY,41,414.05170000000004,0,0,414.05170000000004,2824.1291019090004,2015,6.821,akdeniz
IGDIR,5,14.973999999999997,0,0,14.973999999999997,278.1737799,2015,18.577,dogu_anadolu
ISPARTA,97,308.2549,0,6.4828,314.7377,1039.08908326999,2015,3.371,akdeniz
ISTANBUL,16,63.992000000000004,0,3.2672,67.25919999999999,730.501120067386,2015,11.416,marmara
IZMIR,1294,8478.2346,10656,10.3936,19144.6282,35784.08196217782,2015,1.87,ege
KAHRAMANMARAS,10,91.23979999999999,0,0.315,91.5548,60.8287229,2015,0.667,akdeniz
KARABUK,2,25.845700000000004,0,0.29850000000000004,26.144200000000005,66.98639971219997,2015,2.592,karadeniz
KARAMAN,75,261.12579999999997,0,1.2434,262.3692,1631.1937873299999,2015,6.247,ic_anadolu
KARS,3262,42971.259,0,79.6942,43050.9532,93799.6196597,2015,2.183,dogu_anadolu
KASTAMONU,90,130.87780000000004,0,18.368000000000002,149.24580000000003,1745.77003191,2015,13.339,karadeniz
KAYSERI,15,92.1234,0,1.5495,93.67290000000001,220.06921614020007,2015,2.389,ic_anadolu
KIRIKKALE,3,3.2346000000000004,0,0,3.2346000000000004,39.6317451301,2015,12.252,ic_anadolu
KIRKLARELI,8,102.85079999999999,211,4.4619,318.3127,535.2602203508002,2015,1.705,marmara
KIRSEHIR,1,26.10409999999999,0,0,26.10409999999999,72.27077490370999,2015,2.769,ic_anadolu
KILIS,171,1758.6961999999996,0,0,1758.6961999999996,4019.9975975001003,2015,2.286,guneydogu_anadolu
KOCAELI,5,31.028,0,1.3567,32.3847,79.38430020489996,2015,2.558,marmara
KONYA,618,751.1522000000001,0,40.1899,791.3421000000002,11941.634930498061,2015,15.898,ic_anadolu
KUTAHYA,100,261.25890000000004,0,3.29,264.5489,447.34158810199995,2015,1.712,ege
MALATYA,553,3632.8783,0,215.92299999999994,3848.8013,25613.561573152005,2015,7.05,dogu_anadolu
MANISA,1259,7480.382599999999,0,13.2,7493.582599999998,72807.74074598479,2015,9.733,ege
MARDIN,25,1155.9277,0,0,1155.9277,5483.593004098,2015,4.744,guneydogu_anadolu
MERSIN,241,968.5779,2500,5.5515,3474.1294000000003,5711.301094199899,2015,1.647,akdeniz
MUGLA,106,389.78,1700,1.4507999999999999,2091.2308000000003,1437.6544431780858,2015,0.688,ege
MUS,2036,26595.530599999995,0,164.7156,26760.246199999994,91198.25438590998,2015,3.429,dogu_anadolu
NEVSEHIR,5,30.167700000000004,0,1.7412,31.908900000000003,174.444303643,2015,5.782,ic_anadolu
NIGDE,248,528.9747,1076,0.72,1605.6947,33310.4767828,2015,20.755,ic_anadolu
ORDU,455,1579.4712,300,0,1879.4712,4740.528693070999,2015,2.522,karadeniz
RIZE,4016,1887.9945999999993,0,0,1887.9945999999993,8959.93858999,2015,4.746,karadeniz
SAKARYA,29,126.7539,0,0,126.7539,449.77103074634505,2015,3.548,marmara
SAMSUN,676,2086.5787999999993,0,0,2086.5787999999993,4200.088035233099,2015,2.013,karadeniz
SIVAS,508,7226.593300000009,0,1006.3969999999997,8232.990300000009,21471.79382766,2015,2.971,ic_anadolu
SANLIURFA,225,9198.4882,0,23.5279,9222.016099999999,38316.80449780001,2015,4.166,guneydogu_anadolu
TEKIRDAG,8,90.7515,0,4.9894,95.74090000000001,572.010769,2015,6.303,marmara
TOKAT,157,301.81280000000004,3050,2.6625,3354.4752999999996,5592.8664650785,2015,1.669,karadeniz
TRABZON,271,402.52809999999994,0,0,402.52809999999994,885.3478068000001,2015,2.199,karadeniz
TUNCELI,140,817.2881000000001,0,123.36620000000002,940.6543000000001,2140.75582988,2015,2.619,dogu_anadolu
USAK,10,37.1316,0,0.74,37.8716,100.07279080299999,2015,2.695,ege
VAN,5491,57761.1411,0,1970.5093000000002,59731.65039999999,188034.347595844,2015,3.255,dogu_anadolu
YALOVA,5,8.312,0,0.2941,8.6061,320.38099612100007,2015,38.544,marmara
YOZGAT,3,165.6545,0,5.4511,171.1056,1342.045798,2015,8.101,ic_anadolu
ZONGULDAK,794,1373.8042999999998,0,0,1373.8042999999998,2143.586350126899,2015,1.56,karadeniz
ADANA,202,1097.08,0,4.8843,1101.9643,15822.5533481,2016,14.422,akdeniz
ADIYAMAN,165,952.2331,0,0.735,952.9681,7088.3499048001,2016,7.444,guneydogu_anadolu
AFYONKARAHISAR,191,932.6366,0,285.4309,1218.0675,10836.772150702,2016,11.62,ege
AGRI,1590,34504.1623,0,29.7859,34533.9482,98160.917984,2016,2.845,dogu_anadolu
AKSARAY,1,10.28,0,0,10.28,0,2016,0,ic_anadolu
AMASYA,11,68.8891,253,0,321.8891,247.49728889359994,2016,0.769,karadeniz
ANKARA,52,2604.5298,0,49.2027,2653.7325,16625.6567124157,2016,6.383,ic_anadolu
ANTALYA,45,897.0722,4246.5,1.04,5144.6122,11995.424511116027,2016,2.332,akdeniz
ARDAHAN,631,5562.3079,0,18.0371,5580.345,15042.295049969998,2016,2.704,dogu_anadolu
ARTVIN,952,1198.1624,0,0,1198.1624,3138.012945,2016,2.619,karadeniz
AYDIN,8258,44941.6694,200,10.6439,45152.3133,213927.0732831876,2016,4.739,ege
BALIKESIR,83,1312.9517,537,0,1849.9517,2032.260004131,2016,1.099,marmara
BARTIN,41,75.9407,70,0,145.9407,150.0605362,2016,1.028,karadeniz
BATMAN,7,235.9204,0,14.1874,250.1078,782.03593,2016,3.315,guneydogu_anadolu
BAYBURT,110,1124.2935,0,119.3501,1243.6436,3733.2946520299997,2016,3.321,karadeniz
BILECIK,71,87.2715,0,0,87.2715,1485.331784220998,2016,17.02,marmara
BITLIS,398,6234.7241,1010,529.5809,7774.305,20785.20515704,2016,2.869,dogu_anadolu
BOLU,6,24.9883,0,0,24.9883,233.4953997,2016,9.344,karadeniz
BURDUR,23,248.4076,408,0,656.4076,461.49472360000107,2016,0.703,akdeniz
BURSA,92,282.0101,0,20.8655,302.8756,3016.559313997366,2016,10.697,marmara
CANAKKALE,370,2511.1068,0,160.5609,2671.6677,9823.549408507002,2016,3.912,marmara
CANKIRI,1,4.4998,0,0,4.4998,0.539976,2016,0.12,ic_anadolu
CORUM,23,9.9927,50,0,59.9927,9.97707021,2016,0.166,karadeniz
DENIZLI,162,643.5731,0,52.9491,696.5222,7684.179900099897,2016,11.94,ege
DIYARBAKIR,578,1265.37,0,130.3794,1395.7494,7859.541269109999,2016,6.211,guneydogu_anadolu
DUZCE,90,340.6266,0,0,340.6266,1154.519957799,2016,3.389,karadeniz
EDIRNE,1,30,0,0,30,192.25,2016,6.408,marmara
